model,test_accuracy,test_precision,test_recall,test_f1,test_loss
Logistic Regression + TF-IDF,0.79965,0.7947860304968027,0.8079,0.8012893627572527,
LSTM,0.5841,0.7223691168693813,0.2732,0.39645914961544043,0.6723299193534122
