Model,Accuracy,Precision,Recall,F1-score
Logistic Regression Baseline,0.79965,0.7947860304968027,0.8079,0.8012893627572527
LSTM,0.7902,0.7539376968848442,0.8616,0.804181444838529
GRU,0.79305,0.7568586203874135,0.8635,0.8066700920173758
